Generated by Fabric Compiler ( version 2022.2-SP6.4 <build 146967> ) at Wed Nov 19 01:11:28 2025

Number of unique control sets : 31
  CLK(pix_clk)                                     : 116
  CLK(pix_clk), P(u_dvi_transmitter.reset_syn.N0)  : 2
  CLK(pix_clk), C(u_dvi_transmitter.reset)         : 45
  CLK(pix_clk), CP(sync_vg.N0_cpy)                 : 1191
      CLK(pix_clk), C(sync_vg.N0_cpy)              : 1166
      CLK(pix_clk), P(sync_vg.N0_cpy)              : 25
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(video_display.u_area_bin.u_matrix_3x3.N96)       : 11
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(video_display.u_matrix_3x3_1bit_area_bin.N95)    : 11
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(video_display.u_matrix_3x3_1bit_bin.N95)   : 11
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(~video_display.u_area_bin.u_matrix_3x3.fifo_line_buf1.U_ipm2l_fifo_fifo_line_buf.U_ipm2l_fifo_ctrl.rempty)   : 13
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(~video_display.u_area_bin.u_matrix_3x3.fifo_line_buf1.U_ipm2l_fifo_fifo_line_buf.U_ipm2l_fifo_ctrl.wfull)    : 13
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(~video_display.u_area_bin.u_matrix_3x3.fifo_line_buf2.U_ipm2l_fifo_fifo_line_buf.U_ipm2l_fifo_ctrl.rempty)   : 13
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(~video_display.u_area_bin.u_matrix_3x3.fifo_line_buf2.U_ipm2l_fifo_fifo_line_buf.U_ipm2l_fifo_ctrl.wfull)    : 13
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(video_display.N584)      : 16
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(video_display.N586)      : 16
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(video_display.N588)      : 16
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(video_display.N590)      : 16
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(video_display.N592)      : 16
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(video_display.N594)      : 16
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(video_display.N596)      : 16
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(video_display.N598)      : 16
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(~video_display.u_matrix_3x3_1bit_area_bin.fifo_line_buf1.U_ipm2l_fifo_fifo_line_buf_1bit.U_ipm2l_fifo_ctrl.rempty)       : 16
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(~video_display.u_matrix_3x3_1bit_area_bin.fifo_line_buf1.U_ipm2l_fifo_fifo_line_buf_1bit.U_ipm2l_fifo_ctrl.wfull)  : 16
  CLK(pix_clk), C(sync_vg.N0_cpy), CE(~video_display.u_matrix_3x3_1bit_area_bin.fifo_line_buf2.U_ipm2l_fifo_fifo_line_buf_1bit.U_ipm2l_fifo_ctrl.rempty)       : 16
